t,r,y,u
201.60000000,68.00000000,69.87500000,16.66637611
202.40000000,67.69999695,69.56250000,17.47715759
203.20000000,67.40000153,69.25000000,17.69025803
204.00000000,67.09999847,68.87500000,19.44184875
204.80000000,66.80000305,68.56250000,18.99732590
205.60000000,66.50000000,68.25000000,18.76348495
206.40000000,66.19999695,68.00000000,16.84796524
207.20000000,65.90000153,67.75000000,15.30668640
208.00000000,65.59999847,67.50000000,13.88006687
208.80000000,65.30000305,67.18750000,14.24052811
209.60000000,65.00000000,66.87500000,14.23755646
210.40000000,64.69999695,66.56250000,14.09024620
211.20000000,64.40000153,66.25000000,13.89254951
212.00000000,64.09999847,65.93750000,13.68453217
212.80000000,63.79999924,65.56250000,15.26711559
213.60000000,63.50000000,65.25000000,14.76147270
214.40000000,63.20000076,64.93750000,14.51288891
215.20000000,62.90000153,64.68750000,12.60248756
216.00000000,62.60000229,64.43750000,11.07483673
216.80000000,62.29999924,64.06250000,13.23244476
217.60000000,62.00000000,63.68750000,14.75685501
218.40000000,61.70000076,63.31250000,16.07831573
219.20000000,61.40000153,63.00000000,15.59789562
220.00000000,61.09999847,62.68750000,15.49718952
220.80000000,60.79999924,62.50000000,12.00387001
221.60000000,60.50000000,62.25000000,11.01830387
222.40000000,60.20000076,62.00000000,9.92145729
223.20000000,59.89999771,61.62500000,12.29806709
224.00000000,59.59999847,61.31250000,12.16720676
224.80000000,59.29999924,61.00000000,12.11360741
225.60000000,59.00000000,60.68750000,12.10451031
226.40000000,58.70000076,60.31250000,13.90942955
227.20000000,58.39999771,60.06250000,11.85274696
228.00000000,58.09999847,59.87500000,8.59309006
228.80000000,57.79999924,59.62500000,7.63923550
229.60000000,57.50000000,59.31250000,8.27090168
230.40000000,57.20000076,58.87500000,12.01975250
231.20000000,56.90000153,58.50000000,13.16550255
232.00000000,56.60000229,58.18750000,12.62113380
232.80000000,56.29999924,58.00000000,8.93747902
233.60000000,56.00000000,57.81250000,6.08693123
234.40000000,55.70000076,57.56250000,5.27423429
235.20000000,55.40000153,57.18750000,7.71558189
236.00000000,55.10000229,56.87500000,7.55536890
236.80000000,54.79999924,56.56250000,7.43201208
237.60000000,54.50000000,56.25000000,7.33592224
238.40000000,54.20000076,56.00000000,5.47948456
239.20000000,53.90000153,55.68750000,5.74696493
240.00000000,53.59999847,55.31250000,7.57905769
240.80000000,53.29999924,54.87500000,10.79311180
241.60000000,53.00000000,54.50000000,11.80094624
242.40000000,52.70000076,54.31250000,7.72189426
243.20000000,52.39999771,54.12500000,4.78175068
244.00000000,52.09999847,53.93750000,2.22712731
244.80000000,51.79999924,53.62500000,3.30193210
245.60000000,51.50000000,53.25000000,5.44590569
246.40000000,51.20000076,52.93750000,5.19246244
247.20000000,50.89999771,52.68750000,3.27992988
248.00000000,50.59999847,52.37500000,3.53479147
248.80000000,50.29999924,52.18750000,0.02250051
249.60000000,50.00000000,51.87500000,0.64099932
